@relation linear_regression_finalmarks-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute StudyHours {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-5]\'','\'(5-5.8]\'','\'(5.8-6.6]\'','\'(6.6-7.4]\'','\'(7.4-8.2]\'','\'(8.2-inf)\''}
@attribute Attendance {'\'(-inf-63.9]\'','\'(63.9-67.8]\'','\'(67.8-71.7]\'','\'(71.7-75.6]\'','\'(75.6-79.5]\'','\'(79.5-83.4]\'','\'(83.4-87.3]\'','\'(87.3-91.2]\'','\'(91.2-95.1]\'','\'(95.1-inf)\''}
@attribute InternalMarks {'\'(-inf-11.9]\'','\'(11.9-13.8]\'','\'(13.8-15.7]\'','\'(15.7-17.6]\'','\'(17.6-19.5]\'','\'(19.5-21.4]\'','\'(21.4-23.3]\'','\'(23.3-25.2]\'','\'(25.2-27.1]\'','\'(27.1-inf)\''}
@attribute Projects {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-2.2]\'','\'(2.2-2.5]\'','\'(2.5-2.8]\'','\'(2.8-3.1]\'','\'(3.1-3.4]\'','\'(3.4-3.7]\'','\'(3.7-inf)\''}
@attribute FinalMarks numeric

@data
'\'(3.4-4.2]\'','\'(75.6-79.5]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',75.49
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',85.22
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',91.78
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',72.01
'\'(3.4-4.2]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',77.27
'\'(1.8-2.6]\'','\'(83.4-87.3]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',83.52
'\'(2.6-3.4]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',55.02
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',61.6
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',56.66
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',53.94
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',67.73
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',60.58
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',70.15
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',75.05
'\'(5.8-6.6]\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',54.33
'\'(7.4-8.2]\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',76.04
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',78.63
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',88.5
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',75.41
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',75.49
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',77.88
'\'(7.4-8.2]\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',72.17
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',76.84
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',91.55
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',75.42
'\'(7.4-8.2]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',92.37
'\'(4.2-5]\'','\'(83.4-87.3]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',91.6
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',89.07
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',59.66
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',85.8
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',75.79
'\'(2.6-3.4]\'','\'(95.1-inf)\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',85.13
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',100
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',90.68
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',59.97
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',56.98
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',55.96
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',84.77
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',79.94
'\'(3.4-4.2]\'','\'(63.9-67.8]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',70.04
'\'(5.8-6.6]\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',74.27
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',60.27
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',90.11
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',60.61
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',68.24
'\'(6.6-7.4]\'','\'(83.4-87.3]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',85.63
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',71.52
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',79.88
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',82.32
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',94.29
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',57.34
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',80.53
'\'(3.4-4.2]\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',61.53
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',75.38
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',42.06
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',80.71
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',65.03
'\'(3.4-4.2]\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',45.06
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',81.71
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',69.98
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',86.06
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',73.14
'\'(1.8-2.6]\'','\'(79.5-83.4]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',83.49
'\'(1.8-2.6]\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',76.82
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',77.72
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',84.08
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',97.97
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',75.5
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',77.87
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',66.74
'\'(3.4-4.2]\'','\'(87.3-91.2]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',68.19
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',65.17
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',77.84
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',84.55
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',71.19
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',47.49
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',65.02
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',76.69
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',50.57
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',63.06
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',61.89
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',60.07
'\'(3.4-4.2]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',91.29
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',95.81
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',78.63
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',85.15
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',72.74
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',77.1
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',79.08
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',47.59
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',94.34
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',54.12
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',74.35
'\'(2.6-3.4]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',73.1
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',79.04
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',49.92
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',68.12
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',81.3
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',75.28
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',69.07
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',55.98
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',72.51
'\'(1.8-2.6]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',66.3
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',92.26
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',75.91
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',65.75
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',71.88
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',72.23
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',72.48
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',60.7
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',56.08
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',92.93
'\'(6.6-7.4]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',58.27
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',82.95
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',80.45
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',65.08
'\'(1.8-2.6]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',70.78
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',70.05
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',70.65
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',70.41
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',69.15
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',100
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',83.4
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',71.13
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',90.66
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',73.28
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',80.55
